2024-09-27 20:35:59,440 - INFO - objects_num_before_nms: 46, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 21231, _objects_num_after_nms: 1492, _person_num_after_nms: 1491, _car_num_after_nms: 0
2024-09-27 20:35:59,642 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21254, _objects_num_after_nms: 1467, _person_num_after_nms: 1466, _car_num_after_nms: 0
2024-09-27 20:36:06,441 - INFO - objects_num_before_nms: 24, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21248, _objects_num_after_nms: 1544, _person_num_after_nms: 1544, _car_num_after_nms: 0
2024-09-27 20:36:06,647 - INFO - objects_num_before_nms: 26, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21221, _objects_num_after_nms: 1552, _person_num_after_nms: 1548, _car_num_after_nms: 0
2024-09-27 20:36:13,639 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21735, _objects_num_after_nms: 1659, _person_num_after_nms: 1659, _car_num_after_nms: 0
2024-09-27 20:36:13,857 - INFO - objects_num_before_nms: 31, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 21702, _objects_num_after_nms: 1700, _person_num_after_nms: 1700, _car_num_after_nms: 0
2024-09-27 20:36:20,833 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 17378, _objects_num_after_nms: 1139, _person_num_after_nms: 1137, _car_num_after_nms: 0
2024-09-27 20:36:21,007 - INFO - objects_num_before_nms: 43, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 17540, _objects_num_after_nms: 1161, _person_num_after_nms: 1159, _car_num_after_nms: 0
2024-09-27 20:36:27,894 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 17736, _objects_num_after_nms: 1104, _person_num_after_nms: 1104, _car_num_after_nms: 0
2024-09-27 20:36:28,064 - INFO - objects_num_before_nms: 76, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 17306, _objects_num_after_nms: 1087, _person_num_after_nms: 1085, _car_num_after_nms: 0
2024-09-27 20:36:34,985 - INFO - objects_num_before_nms: 75, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 19422, _objects_num_after_nms: 1277, _person_num_after_nms: 1277, _car_num_after_nms: 0
2024-09-27 20:36:35,172 - INFO - objects_num_before_nms: 85, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 19482, _objects_num_after_nms: 1250, _person_num_after_nms: 1249, _car_num_after_nms: 0
2024-09-27 20:36:42,051 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 21141, _objects_num_after_nms: 1534, _person_num_after_nms: 1533, _car_num_after_nms: 0
